issue,draw_date,sales_amount,one,two,three
2005104,2005-04-21,0,6,8,1
2005103,2005-04-20,0,8,7,3
2005102,2005-04-19,0,4,3,1
2005101,2005-04-18,0,3,2,0
2005100,2005-04-17,0,1,2,7
2005099,2005-04-16,0,6,9,5
2005098,2005-04-15,0,6,7,0
2005097,2005-04-14,0,0,8,5
2005096,2005-04-13,0,9,3,5
2005095,2005-04-12,0,0,6,1
2005094,2005-04-11,0,1,1,2
2005093,2005-04-10,0,8,6,1
2005092,2005-04-09,0,2,9,9
2005091,2005-04-08,0,1,0,2
2005090,2005-04-07,0,0,6,5
2005089,2005-04-06,0,0,9,1
2005088,2005-04-05,0,1,4,4
2005087,2005-04-04,0,1,5,5
2005086,2005-04-03,0,6,3,5
2005085,2005-04-02,0,9,4,2
2005084,2005-04-01,0,2,7,7
2005083,2005-03-31,0,7,0,2
2005082,2005-03-30,0,2,1,6
2005081,2005-03-29,0,2,5,0
2005080,2005-03-28,0,4,9,5
2005079,2005-03-27,0,9,5,9
2005078,2005-03-26,0,8,4,2
2005077,2005-03-25,0,6,4,8
2005076,2005-03-24,0,4,1,8
2005075,2005-03-23,0,7,0,0
2005074,2005-03-22,0,0,0,6
2005073,2005-03-21,0,2,3,2
2005072,2005-03-20,0,2,5,6
2005071,2005-03-19,0,9,1,7
2005070,2005-03-18,0,9,8,4
2005069,2005-03-17,0,7,4,3
2005068,2005-03-16,0,9,0,3
2005067,2005-03-15,0,1,6,9
2005066,2005-03-14,0,6,2,6
2005065,2005-03-13,0,8,9,5
2005064,2005-03-12,0,9,6,9
2005063,2005-03-11,0,1,8,1
2005062,2005-03-10,0,7,9,6
2005061,2005-03-09,0,9,1,2
2005060,2005-03-08,0,9,6,0
2005059,2005-03-07,0,9,8,3
2005058,2005-03-06,0,3,5,3
2005057,2005-03-05,0,8,1,3
2005056,2005-03-04,0,6,0,0
2005055,2005-03-03,0,0,1,4
2005054,2005-03-02,0,5,1,9
2005053,2005-03-01,0,1,7,5
2005052,2005-02-28,0,3,0,6
2005051,2005-02-27,0,2,4,7
2005050,2005-02-26,0,1,0,4
2005049,2005-02-25,0,7,9,0
2005048,2005-02-24,0,7,6,1
2005047,2005-02-23,0,4,2,9
2005046,2005-02-22,0,5,4,5
2005045,2005-02-21,0,4,0,0
2005044,2005-02-20,0,9,5,5
2005043,2005-02-19,0,8,4,5
2005042,2005-02-18,0,2,3,4
2005041,2005-02-17,0,1,3,3
2005040,2005-02-16,0,0,4,7
2005039,2005-02-08,0,0,2,8
2005038,2005-02-07,0,3,1,9
2005037,2005-02-06,0,7,0,8
2005036,2005-02-05,0,9,4,2
2005035,2005-02-04,0,8,3,0
2005034,2005-02-03,0,1,8,6
2005033,2005-02-02,0,5,9,0
2005032,2005-02-01,0,3,6,1
2005031,2005-01-31,0,5,0,4
2005030,2005-01-30,0,4,5,9
2005029,2005-01-29,0,6,2,8
2005028,2005-01-28,0,8,6,2
2005027,2005-01-27,0,0,1,4
2005026,2005-01-26,0,2,7,7
2005025,2005-01-25,0,7,5,5
2005024,2005-01-24,0,3,1,2
2005023,2005-01-23,0,0,8,0
2005022,2005-01-22,0,9,3,8
2005021,2005-01-21,0,0,0,1
2005020,2005-01-20,0,9,2,2
2005019,2005-01-19,0,5,7,4
2005018,2005-01-18,0,0,5,5
2005017,2005-01-17,0,1,5,7
2005016,2005-01-16,0,6,6,5
2005015,2005-01-15,0,3,6,7
2005014,2005-01-14,0,0,8,5
2005013,2005-01-13,0,6,1,3
2005012,2005-01-12,0,1,9,6
2005011,2005-01-11,0,2,0,4
2005010,2005-01-10,0,4,1,6
2005009,2005-01-09,0,8,6,9
2005008,2005-01-08,0,2,8,1
2005007,2005-01-07,0,4,3,5
2005006,2005-01-06,0,4,2,0
2005005,2005-01-05,0,2,9,9
2005004,2005-01-04,0,6,7,4
2005003,2005-01-03,0,4,3,1
2005002,2005-01-02,0,3,6,6
2005001,2005-01-01,0,0,5,4
2006357,2006-12-31,0,5,8,4
2006356,2006-12-30,0,6,7,8
2006355,2006-12-29,0,9,1,4
2006354,2006-12-28,0,3,3,4
2006353,2006-12-27,0,5,1,3
2006352,2006-12-26,0,6,9,1
2006351,2006-12-25,0,1,1,7
2006350,2006-12-24,0,6,9,8
2006349,2006-12-23,0,7,3,5
2006348,2006-12-22,0,1,1,4
2006347,2006-12-21,0,1,8,4
2006346,2006-12-20,0,5,6,6
2006345,2006-12-19,0,0,3,0
2006344,2006-12-18,0,7,1,2
2006343,2006-12-17,0,1,8,3
2006342,2006-12-16,0,7,4,6
2006341,2006-12-15,0,6,6,4
2006340,2006-12-14,0,5,3,1
2006339,2006-12-13,0,0,6,3
2006338,2006-12-12,0,9,4,0
2006337,2006-12-11,0,1,2,6
2006336,2006-12-10,0,4,5,6
2006335,2006-12-09,0,6,5,9
2006334,2006-12-08,0,8,9,3
2006333,2006-12-07,0,7,6,7
2006332,2006-12-06,0,0,2,0
2006331,2006-12-05,0,0,9,0
2006330,2006-12-04,0,7,7,4
2006329,2006-12-03,0,8,9,6
2006328,2006-12-02,0,1,6,9
2006327,2006-12-01,0,3,7,5
2006326,2006-11-30,0,9,7,7
2006325,2006-11-29,0,1,4,3
2006324,2006-11-28,0,8,1,5
2006323,2006-11-27,0,7,3,6
2006322,2006-11-26,0,6,6,4
2006321,2006-11-25,0,4,6,8
2006320,2006-11-24,0,3,4,9
2006319,2006-11-23,0,6,5,5
2006318,2006-11-22,0,6,1,9
2006317,2006-11-21,0,8,4,5
2006316,2006-11-20,0,1,3,3
2006315,2006-11-19,0,0,4,1
2006314,2006-11-18,0,7,2,4
2006313,2006-11-17,0,8,3,0
2006312,2006-11-16,0,3,1,0
2006311,2006-11-15,0,3,0,5
2006310,2006-11-14,0,9,9,9
2006309,2006-11-13,0,8,3,4
2006308,2006-11-12,0,8,7,1
2006307,2006-11-11,0,2,7,8
2006306,2006-11-10,"50,570,396",6,6,1
2006305,2006-11-09,"49,416,254",2,5,9
2006304,2006-11-08,0,9,9,1
2006303,2006-11-07,0,7,7,2
2006302,2006-11-06,0,6,3,5
2006301,2006-11-05,0,1,9,9
2006300,2006-11-04,0,2,1,4
2006299,2006-11-03,0,9,5,6
2006298,2006-11-02,0,9,7,2
2006297,2006-11-01,0,6,0,0
2006296,2006-10-31,0,6,0,9
2006295,2006-10-30,"43,366,998",3,3,1
2006294,2006-10-29,0,4,3,7
2006293,2006-10-28,0,0,6,0
2006292,2006-10-27,0,3,3,8
2006291,2006-10-26,0,4,3,9
2006290,2006-10-25,0,2,0,8
2006289,2006-10-24,0,7,8,1
2006288,2006-10-23,0,1,4,5
2006287,2006-10-22,0,4,4,7
2006286,2006-10-21,0,5,6,4
2006285,2006-10-20,0,8,5,7
2006284,2006-10-19,0,2,7,9
2006283,2006-10-18,0,0,2,3
2006282,2006-10-17,"28,581,334",4,3,3
2006281,2006-10-16,0,2,6,3
2006280,2006-10-15,"27,422,978",8,0,8
2006279,2006-10-14,"29,885,748",9,5,1
2006278,2006-10-13,"31,150,266",2,1,6
2006277,2006-10-12,"30,477,842",9,0,7
2006276,2006-10-11,0,1,1,0
2006275,2006-10-10,"29,161,504",7,7,2
2006274,2006-10-09,"29,674,284",9,0,8
2006273,2006-10-08,"28,922,420",3,7,3
2006272,2006-10-07,0,5,1,7
2006271,2006-10-06,0,9,4,4
2006270,2006-10-05,0,3,1,7
2006269,2006-10-04,0,0,1,0
2006268,2006-10-03,0,6,3,8
2006267,2006-10-02,0,2,6,5
2006266,2006-10-01,0,2,7,2
2006265,2006-09-30,0,2,2,8
2006264,2006-09-29,0,6,5,6
2006263,2006-09-28,0,8,8,6
2006262,2006-09-27,0,9,1,7
2006261,2006-09-26,0,7,3,5
2006260,2006-09-25,0,6,5,9
2006259,2006-09-24,0,6,2,8
2006258,2006-09-23,0,8,6,0
2006257,2006-09-22,0,5,0,8
2006256,2006-09-21,0,9,9,8
2006255,2006-09-20,"29,847,692",4,7,9
2006254,2006-09-19,0,2,9,3
2006253,2006-09-18,0,9,7,8
2006252,2006-09-17,0,1,1,5
2006251,2006-09-16,0,6,5,6
2006250,2006-09-15,0,9,5,9
2006249,2006-09-14,0,1,6,6
2006248,2006-09-13,0,8,9,5
2006247,2006-09-12,0,5,2,8
2006246,2006-09-11,0,9,8,9
2006245,2006-09-10,0,0,8,0
2006244,2006-09-09,0,2,2,2
2006243,2006-09-08,0,4,9,8
2006242,2006-09-07,0,7,8,9
2006241,2006-09-06,0,4,3,2
2006240,2006-09-05,0,2,2,8
2006239,2006-09-04,0,5,3,6
2006238,2006-09-03,0,1,6,6
2006237,2006-09-02,0,7,9,3
2006236,2006-09-01,0,1,6,9
2006235,2006-08-31,0,7,3,2
2006234,2006-08-30,0,4,5,7
2006233,2006-08-29,0,7,1,4
2006232,2006-08-28,0,1,6,2
2006231,2006-08-27,0,0,6,8
2006230,2006-08-26,0,2,6,7
2006229,2006-08-25,0,2,6,6
2006228,2006-08-24,0,6,1,2
2006227,2006-08-23,0,6,3,3
2006226,2006-08-22,0,6,0,8
2006225,2006-08-21,0,8,9,3
2006224,2006-08-20,0,7,0,8
2006223,2006-08-19,0,7,6,0
2006222,2006-08-18,0,2,5,5
2006221,2006-08-17,0,7,5,1
2006220,2006-08-16,0,5,4,6
2006219,2006-08-15,0,5,5,4
2006218,2006-08-14,0,7,2,1
2006217,2006-08-13,0,3,5,3
2006216,2006-08-12,0,8,3,6
2006215,2006-08-11,0,5,2,7
2006214,2006-08-10,0,3,4,0
2006213,2006-08-09,0,4,2,1
2006212,2006-08-08,0,9,3,4
2006211,2006-08-07,0,5,5,2
2006210,2006-08-06,0,2,5,7
2006209,2006-08-05,0,5,6,2
2006208,2006-08-04,0,3,6,8
2006207,2006-08-03,0,9,3,7
2006206,2006-08-02,0,4,7,1
2006205,2006-08-01,0,4,8,1
2006204,2006-07-31,0,8,7,2
2006203,2006-07-30,0,4,5,1
2006202,2006-07-29,0,8,9,1
2006201,2006-07-28,0,7,2,4
2006200,2006-07-27,0,9,2,8
2006199,2006-07-26,0,0,2,9
2006198,2006-07-25,0,1,6,5
2006197,2006-07-24,0,9,4,9
2006196,2006-07-23,0,8,4,8
2006195,2006-07-22,0,9,1,8
2006194,2006-07-21,0,1,1,6
2006193,2006-07-20,0,7,4,8
2006192,2006-07-19,0,3,0,0
2006191,2006-07-18,0,2,9,3
2006190,2006-07-17,0,4,1,9
2006189,2006-07-16,0,3,3,4
2006188,2006-07-15,0,9,9,5
2006187,2006-07-14,0,7,1,3
2006186,2006-07-13,0,4,6,9
2006185,2006-07-12,0,7,0,0
2006184,2006-07-11,0,3,4,0
2006183,2006-07-10,0,4,6,5
2006182,2006-07-09,0,2,1,7
2006181,2006-07-08,0,9,5,9
2006180,2006-07-07,0,5,9,3
2006179,2006-07-06,0,4,9,9
2006178,2006-07-05,0,4,6,5
2006177,2006-07-04,0,9,4,5
2006176,2006-07-03,0,7,7,2
2006175,2006-07-02,0,0,0,1
2006174,2006-07-01,0,4,5,4
2006173,2006-06-30,0,0,1,9
2006172,2006-06-29,0,6,8,7
2006171,2006-06-28,0,2,4,6
2006170,2006-06-27,0,3,0,5
2006169,2006-06-26,0,7,9,4
2006168,2006-06-25,0,2,1,1
2006167,2006-06-24,0,9,6,4
2006166,2006-06-23,0,3,7,3
2006165,2006-06-22,0,3,9,7
2006164,2006-06-21,0,5,3,4
2006163,2006-06-20,0,9,9,4
2006162,2006-06-19,0,2,4,2
2006161,2006-06-18,0,9,7,6
2006160,2006-06-17,0,9,8,6
2006159,2006-06-16,0,5,3,9
2006158,2006-06-15,0,6,2,3
2006157,2006-06-14,0,0,3,8
2006156,2006-06-13,0,6,7,8
2006155,2006-06-12,0,7,5,9
2006154,2006-06-11,0,9,4,8
2006153,2006-06-10,0,9,5,0
2006152,2006-06-09,0,8,1,4
2006151,2006-06-08,0,1,8,1
2006150,2006-06-07,0,0,4,9
2006149,2006-06-06,0,0,1,9
2006148,2006-06-05,0,7,6,0
2006147,2006-06-04,0,7,3,3
2006146,2006-06-03,0,8,3,4
2006145,2006-06-02,0,5,8,8
2006144,2006-06-01,0,1,5,1
2006143,2006-05-31,0,1,0,4
2006142,2006-05-30,0,2,6,6
2006141,2006-05-29,0,9,7,4
2006140,2006-05-28,0,8,3,0
2006139,2006-05-27,0,1,7,2
2006138,2006-05-26,0,0,8,7
2006137,2006-05-25,0,7,3,3
2006136,2006-05-24,0,3,9,1
2006135,2006-05-23,0,7,4,5
2006134,2006-05-22,0,0,7,3
2006133,2006-05-21,0,9,8,9
2006132,2006-05-20,0,0,9,3
2006131,2006-05-19,0,1,6,5
2006130,2006-05-18,0,8,0,8
2006129,2006-05-17,0,9,2,9
2006128,2006-05-16,0,6,4,0
2006127,2006-05-15,0,1,0,3
2006126,2006-05-14,0,2,3,8
2006125,2006-05-13,0,3,1,5
2006124,2006-05-12,0,2,6,1
2006123,2006-05-11,0,2,4,9
2006122,2006-05-10,0,5,2,0
2006121,2006-05-09,0,5,7,5
2006120,2006-05-08,0,3,3,2
2006119,2006-05-07,0,9,0,0
2006118,2006-05-06,0,8,9,0
2006117,2006-05-05,0,9,9,9
2006116,2006-05-04,0,3,3,2
2006115,2006-05-03,0,2,5,9
2006114,2006-05-02,0,9,9,7
2006113,2006-05-01,0,6,0,1
2006112,2006-04-30,0,4,9,9
2006111,2006-04-29,0,2,1,8
2006110,2006-04-28,0,4,3,7
2006109,2006-04-27,0,3,0,8
2006108,2006-04-26,0,6,9,6
2006107,2006-04-25,0,1,9,0
2006106,2006-04-24,0,5,3,3
2006105,2006-04-23,0,5,1,9
2006104,2006-04-22,0,6,1,6
2006103,2006-04-21,0,2,2,3
2006102,2006-04-20,0,2,6,0
2006101,2006-04-19,0,4,3,0
2006100,2006-04-18,0,4,5,1
2006099,2006-04-17,0,8,2,6
2006098,2006-04-16,0,6,6,0
2006097,2006-04-15,0,9,3,8
2006096,2006-04-14,0,2,7,5
2006095,2006-04-13,0,3,0,4
2006094,2006-04-12,0,0,1,0
2006093,2006-04-11,0,8,2,4
2006092,2006-04-10,0,4,4,4
2006091,2006-04-09,0,5,3,3
2006090,2006-04-08,0,8,7,7
2006089,2006-04-07,0,4,9,2
2006088,2006-04-06,0,6,4,2
2006087,2006-04-05,0,9,4,7
2006086,2006-04-04,0,1,6,2
2006085,2006-04-03,0,4,9,5
2006084,2006-04-02,0,2,7,6
2006083,2006-04-01,0,9,7,2
2006082,2006-03-31,0,6,7,1
2006081,2006-03-30,0,4,3,4
2006080,2006-03-29,0,5,4,4
2006079,2006-03-28,0,7,1,4
2006078,2006-03-27,0,2,8,6
2006077,2006-03-26,0,2,0,1
2006076,2006-03-25,0,2,2,4
2006075,2006-03-24,0,8,4,4
2006074,2006-03-23,0,2,9,2
2006073,2006-03-22,0,2,0,3
2006072,2006-03-21,0,4,2,0
2006071,2006-03-20,0,2,0,2
2006070,2006-03-19,0,4,1,5
2006069,2006-03-18,0,0,8,2
2006068,2006-03-17,0,0,0,3
2006067,2006-03-16,0,1,4,9
2006066,2006-03-15,0,9,6,7
2006065,2006-03-14,0,9,2,1
2006064,2006-03-13,0,9,8,3
2006063,2006-03-12,0,4,5,8
2006062,2006-03-11,0,7,6,1
2006061,2006-03-10,0,2,2,4
2006060,2006-03-09,0,0,6,2
2006059,2006-03-08,0,9,9,0
2006058,2006-03-07,0,6,0,0
2006057,2006-03-06,0,7,9,1
2006056,2006-03-05,0,8,9,8
2006055,2006-03-04,0,1,4,0
2006054,2006-03-03,0,9,0,9
2006053,2006-03-02,0,6,9,8
2006052,2006-03-01,0,5,0,1
2006051,2006-02-28,0,8,7,3
2006050,2006-02-27,0,8,7,4
2006049,2006-02-26,0,4,8,9
2006048,2006-02-25,0,5,6,4
2006047,2006-02-24,0,6,9,4
2006046,2006-02-23,0,5,6,8
2006045,2006-02-22,0,1,8,7
2006044,2006-02-21,0,0,2,6
2006043,2006-02-20,0,4,4,5
2006042,2006-02-19,0,0,2,8
2006041,2006-02-18,0,8,5,3
2006040,2006-02-17,0,8,7,6
2006039,2006-02-16,0,5,8,7
2006038,2006-02-15,0,3,7,4
2006037,2006-02-14,0,2,3,6
2006036,2006-02-13,0,1,5,4
2006035,2006-02-12,0,6,4,7
2006034,2006-02-11,0,4,6,5
2006033,2006-02-10,0,5,4,9
2006032,2006-02-09,0,6,9,9
2006031,2006-02-08,0,6,7,5
2006030,2006-02-07,0,0,8,6
2006029,2006-02-06,0,7,0,6
